Subj	Role	Melody	Partner	Elec	AlphaERD
S01	leader	same	human	fc	14.574
S01	leader	same	human	cpl	0.263
S01	leader	same	human	cpr	35.452
S01	leader	same	human	po	8.245
S01	leader	diff	human	fc	9.834
S01	leader	diff	human	cpl	5.624
S01	leader	diff	human	cpr	17.868
S01	leader	diff	human	po	9.837
S01	follower	same	human	fc	3.073
S01	follower	same	human	cpl	-22.491
S01	follower	same	human	cpr	2.084
S01	follower	same	human	po	-6.455
S01	follower	diff	human	fc	-34.727
S01	follower	diff	human	cpl	-29.679
S01	follower	diff	human	cpr	-33.161
S01	follower	diff	human	po	-25.225
S01	leader	same	comp	fc	-3.211
S01	leader	same	comp	cpl	0.171
S01	leader	same	comp	cpr	6.959
S01	leader	same	comp	po	-9.752
S01	leader	diff	comp	fc	20.070
S01	leader	diff	comp	cpl	10.376
S01	leader	diff	comp	cpr	1.307
S01	leader	diff	comp	po	12.906
S01	follower	same	comp	fc	-11.771
S01	follower	same	comp	cpl	-14.334
S01	follower	same	comp	cpr	14.389
S01	follower	same	comp	po	-16.017
S01	follower	diff	comp	fc	4.853
S01	follower	diff	comp	cpl	12.115
S01	follower	diff	comp	cpr	-2.143
S01	follower	diff	comp	po	-0.150
S02	leader	same	human	fc	12.169
S02	leader	same	human	cpl	12.433
S02	leader	same	human	cpr	6.727
S02	leader	same	human	po	7.401
S02	leader	diff	human	fc	4.449
S02	leader	diff	human	cpl	-3.337
S02	leader	diff	human	cpr	-23.272
S02	leader	diff	human	po	-0.008
S02	follower	same	human	fc	15.708
S02	follower	same	human	cpl	14.650
S02	follower	same	human	cpr	13.577
S02	follower	same	human	po	7.784
S02	follower	diff	human	fc	17.717
S02	follower	diff	human	cpl	5.739
S02	follower	diff	human	cpr	9.866
S02	follower	diff	human	po	5.318
S02	leader	same	comp	fc	1.905
S02	leader	same	comp	cpl	9.617
S02	leader	same	comp	cpr	5.050
S02	leader	same	comp	po	8.017
S02	leader	diff	comp	fc	-22.376
S02	leader	diff	comp	cpl	-16.641
S02	leader	diff	comp	cpr	-10.435
S02	leader	diff	comp	po	-3.481
S02	follower	same	comp	fc	-10.730
S02	follower	same	comp	cpl	8.272
